Model,TrainTime_sec,TrainRAM_MB,TrainPeakRAM_MB,ModelRAM_KB,DiskSize_KB,Params,CPU_Usage_percent
AutoEncoder,333.24,56.41,56.41,34.95,53.27,11646,47.21
VariationalAutoEncoder,405.35,56.61,56.61,37.45,55.63,11976,45.72
ConditionalVariationalAutoEncoder,430.94,56.76,56.76,37.51,55.34,11811,45.1
LSTMAutoEncoder,519.14,57.19,57.19,22.73,102.68,24414,59.77
ProbabilisticVariationalEncoder,472.55,56.84,56.84,40.02,69.99,15356,45.4
AutoEncoder,333.81,56.22,56.22,34.95,53.27,11646,47.56
VariationalAutoEncoder,399.53,56.88,56.88,37.45,55.63,11976,45.47
ConditionalVariationalAutoEncoder,428.45,56.82,56.82,37.51,55.34,11811,45.08
LSTMAutoEncoder,513.83,57.44,57.44,22.73,102.68,24414,59.93
ProbabilisticVariationalEncoder,479.91,56.97,56.97,40.02,69.99,15356,45.24
AutoEncoder,349.53,58.51,58.51,34.95,53.27,11646,48.34
VariationalAutoEncoder,378.86,56.88,56.88,37.45,55.63,11976,47.11
ConditionalVariationalAutoEncoder,376.54,59.07,59.07,37.51,55.34,11811,44.65
LSTMAutoEncoder,486.1,57.44,57.44,22.73,102.68,24414,61.39
ProbabilisticVariationalEncoder,434.33,56.75,56.75,40.02,69.99,15356,45.85
AutoEncoder,317.51,56.3,56.3,34.95,53.27,11646,48.67
VariationalAutoEncoder,369.05,56.82,56.82,37.45,55.63,11976,46.41
ConditionalVariationalAutoEncoder,372.5,56.64,56.64,37.51,55.34,11811,44.75
LSTMAutoEncoder,490.33,59.0,59.0,22.73,102.68,24414,61.52
ProbabilisticVariationalEncoder,438.11,56.75,56.75,40.02,69.99,15356,45.99
AutoEncoder,316.74,56.52,56.52,34.95,53.27,11646,48.91
VariationalAutoEncoder,377.63,56.83,56.83,37.45,55.63,11976,46.88
ConditionalVariationalAutoEncoder,372.81,56.82,56.82,37.51,55.34,11811,44.64
LSTMAutoEncoder,506.96,57.44,57.44,22.73,102.68,24414,62.47
ProbabilisticVariationalEncoder,429.88,59.22,59.22,40.02,69.99,15356,45.84
AutoEncoder,320.35,56.39,56.39,34.95,53.27,11646,48.65
VariationalAutoEncoder,376.43,56.82,56.82,37.45,55.63,11976,46.41
ConditionalVariationalAutoEncoder,374.79,56.83,56.83,37.51,55.34,11811,44.72
LSTMAutoEncoder,489.18,57.31,57.31,22.73,102.68,24414,61.24
ProbabilisticVariationalEncoder,434.74,56.85,56.85,40.02,69.99,15356,45.69
AutoEncoder,317.47,56.3,56.3,34.95,53.27,11646,48.12
VariationalAutoEncoder,379.51,56.83,56.83,37.45,55.63,11976,46.75
ConditionalVariationalAutoEncoder,372.99,56.72,56.72,37.51,55.34,11811,44.75
LSTMAutoEncoder,487.7,57.31,57.31,22.73,102.68,24414,61.49
ProbabilisticVariationalEncoder,431.22,56.75,56.75,40.02,69.99,15356,45.68
AutoEncoder,321.75,56.3,56.3,34.95,53.27,11646,49.13
VariationalAutoEncoder,366.03,56.82,56.82,37.45,55.63,11976,46.21
ConditionalVariationalAutoEncoder,399.15,56.82,56.82,37.51,55.34,11811,44.84
LSTMAutoEncoder,491.63,57.31,57.31,22.73,102.68,24414,61.03
ProbabilisticVariationalEncoder,440.45,56.84,56.84,40.02,69.99,15356,45.85
AutoEncoder,322.28,56.51,56.51,34.95,53.27,11646,48.79
VariationalAutoEncoder,373.17,56.63,56.63,37.45,55.63,11976,46.26
ConditionalVariationalAutoEncoder,378.16,56.82,56.82,37.51,55.34,11811,44.72
LSTMAutoEncoder,489.55,58.94,58.94,22.73,102.68,24414,61.67
ProbabilisticVariationalEncoder,478.53,56.75,56.75,40.02,69.99,15356,45.75
AutoEncoder,330.78,58.52,58.52,34.95,53.27,11646,47.2
VariationalAutoEncoder,363.72,56.87,56.87,37.45,55.63,11976,46.24
ConditionalVariationalAutoEncoder,371.91,56.82,56.82,37.51,55.34,11811,44.69
LSTMAutoEncoder,513.88,57.31,57.31,22.73,102.68,24414,63.18
