Model,TrainTime_sec,TrainRAM_MB,TrainPeakRAM_MB,ModelRAM_KB,DiskSize_KB,Params,CPU_Usage_percent
AutoEncoder,246.34,54.49,54.49,21.02,47.18,10706,49.16
VariationalAutoEncoder,310.9,55.13,55.13,27.87,31.8,6384,40.72
ConditionalVariationalAutoEncoder,346.84,55.27,55.27,27.93,48.85,10711,45.4
LSTMAutoEncoder,1542.32,67.66,67.66,22.73,792.18,200914,85.43
ProbabilisticVariationalEncoder,445.41,55.14,55.14,31.27,168.11,40720,49.69
AutoEncoder,243.84,54.41,54.41,21.02,47.18,10706,51.85
VariationalAutoEncoder,281.99,55.2,55.2,27.87,31.8,6384,40.51
ConditionalVariationalAutoEncoder,341.91,55.32,55.32,27.93,48.85,10711,47.17
LSTMAutoEncoder,1527.32,56.12,56.12,22.73,792.18,200914,85.78
ProbabilisticVariationalEncoder,445.26,55.36,55.36,31.27,168.11,40720,49.83
AutoEncoder,242.83,53.28,53.28,21.02,47.18,10706,51.99
VariationalAutoEncoder,283.16,55.2,55.2,27.87,31.8,6384,40.59
ConditionalVariationalAutoEncoder,335.32,57.48,57.48,27.93,48.85,10711,46.69
LSTMAutoEncoder,1560.37,56.12,56.12,22.73,792.18,200914,86.22
ProbabilisticVariationalEncoder,449.12,55.4,55.4,31.27,168.11,40720,49.75
AutoEncoder,228.55,54.41,54.41,21.02,47.18,10706,51.14
VariationalAutoEncoder,278.53,55.33,55.33,27.87,31.8,6384,40.48
ConditionalVariationalAutoEncoder,313.03,53.95,53.95,27.93,48.85,10711,45.28
LSTMAutoEncoder,1559.79,56.12,56.12,22.73,792.18,200914,86.3
ProbabilisticVariationalEncoder,440.63,55.23,55.23,31.27,168.11,40720,49.68
AutoEncoder,230.76,54.6,54.6,21.02,47.18,10706,51.17
VariationalAutoEncoder,271.8,55.33,55.33,27.87,31.8,6384,40.07
ConditionalVariationalAutoEncoder,322.02,55.23,55.23,27.93,48.85,10711,45.93
LSTMAutoEncoder,1562.4,56.08,56.08,22.73,792.18,200914,86.26
ProbabilisticVariationalEncoder,439.19,55.14,55.14,31.27,168.11,40720,49.76
AutoEncoder,240.16,54.41,54.41,21.02,47.18,10706,51.62
VariationalAutoEncoder,277.16,55.27,55.27,27.87,31.8,6384,40.29
ConditionalVariationalAutoEncoder,316.17,55.45,55.45,27.93,48.85,10711,45.76
LSTMAutoEncoder,1526.55,54.79,54.79,22.73,792.18,200914,86.02
ProbabilisticVariationalEncoder,439.61,55.24,55.24,31.27,168.11,40720,49.67
AutoEncoder,219.5,54.53,54.53,21.02,47.18,10706,50.83
VariationalAutoEncoder,272.81,55.2,55.2,27.87,31.8,6384,40.24
ConditionalVariationalAutoEncoder,321.78,55.21,55.21,27.93,48.85,10711,46.1
LSTMAutoEncoder,1552.48,56.04,56.04,22.73,792.18,200914,86.0
ProbabilisticVariationalEncoder,440.45,53.86,53.86,31.27,168.11,40720,49.73
AutoEncoder,245.35,54.41,54.41,21.02,47.18,10706,51.96
VariationalAutoEncoder,273.72,55.45,55.45,27.87,31.8,6384,40.08
ConditionalVariationalAutoEncoder,325.79,55.33,55.33,27.93,48.85,10711,45.64
LSTMAutoEncoder,1532.97,55.91,55.91,22.73,792.18,200914,85.99
ProbabilisticVariationalEncoder,449.06,55.24,55.24,31.27,168.11,40720,49.53
AutoEncoder,242.3,53.11,53.11,21.02,47.18,10706,51.65
VariationalAutoEncoder,278.69,55.11,55.11,27.87,31.8,6384,40.37
ConditionalVariationalAutoEncoder,332.75,55.09,55.09,27.93,48.85,10711,46.62
LSTMAutoEncoder,1565.16,55.87,55.87,22.73,792.18,200914,86.16
ProbabilisticVariationalEncoder,442.39,55.23,55.23,31.27,168.11,40720,49.67
AutoEncoder,220.62,54.48,54.48,21.02,47.18,10706,51.01
VariationalAutoEncoder,275.29,55.45,55.45,27.87,31.8,6384,40.21
ConditionalVariationalAutoEncoder,318.16,55.23,55.23,27.93,48.85,10711,45.47
LSTMAutoEncoder,1561.24,56.12,56.12,22.73,792.18,200914,86.08
ProbabilisticVariationalEncoder,445.4,58.41,58.41,31.27,168.11,40720,49.45
